,package,version,pkg_score,score_rank,downloads_90days
1,pkglite,0.2.1,0.1180,1," 1,867 "
2,covr,3.6.2,0.1442,2," 785,113 "
3,tidytlg,0.1.2,0.1594,3, 485 
4,admiralonco,0.4.0,0.1637,4," 1,169 "
5,admiralophtha,0.2.0,0.1669,5," 1,019 "
6,Tplyr,1.1.0,0.1672,6," 1,947 "
7,visR,0.3.1,0.1672,7," 1,120 "
8,xportr,0.3.0,0.1796,8, 828 
9,admiral,0.11.0,0.1818,9," 3,182 "
10,rtables,0.6.1,0.1889,10," 2,539 "
11,tern,0.8.3,0.1950,11, 163 
12,metacore,0.1.2,0.2065,12," 1,588 "
13,tidyCDISC,0.2.1,0.2066,13, 757 
14,riskmetric,0.2.1,0.2284,14, 953 
15,logrx,0.2.2,0.2289,15, 788 
16,ggsurvfit,0.3.0,0.2366,16," 14,641 "
17,pharmaRTF,0.1.4,0.3274,17," 1,138 "
18,tfrmt,0.0.3,0.3796,18, 627 
19,metatools,0.1.5,0.4594,19," 1,590 "
20,datacutr,0.1.0,0.5162,20, 582 
